Timestamp,Label,Assumed_Power_W,PUE,Year,Total_Wall_Time_s,Total_Energy_kWh,Country,Intensity_kgCO2_per_kWh,Emissions_kgCO2
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Argentina,358.94824,0.0211627656406833
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,North America (Ember),357.41916,0.0210726145880249
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Germany,344.13992,0.0202897010292166
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,G7 (Ember),342.5886,0.0201982387571249
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Estonia,341.0214,0.0201058402366249
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,OECD (Ember),337.48355,0.0198972567081979
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Greece,319.76236,0.0188524559568583
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Belarus,313.6173,0.0184901573016874
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Italy,287.5335,0.0169523162290624
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Colombia,285.7959,0.0168498713150625
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Europe (Ember),284.16852,0.0167539247196749
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Ireland,279.70218,0.0164905995486374
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Chile,265.51648,0.0156542431855333
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Bulgaria,264.20685,0.0155770304019687
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Peru,263.2733,0.0155219904333541
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Latin America and Caribbean (Ember),255.2324,0.0150479173964166
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Netherlands,253.31152,0.0149346667136333
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Romania,245.55428,0.0144773176202416
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Armenia,244.3439,0.0144059563892291
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Slovenia,227.64705,0.0134215483768437
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,EU (Ember),213.3101,0.0125762746603541
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Ecuador,209.69698,0.0123632533852208
